Symbol,Name,Sector
TTMI,"TTM Technologies, Inc.",Information Technology
TUP,Tupperware Corp,Consumer Discretionary
USCR,"U.S. Concrete, Inc.",Materials
USPH,"U.S. Physical Therapy, Inc.",Health Care
SLCA,"U.S. Silica Holdings, Inc.",Energy
ULTI,Ultimate Software Group Inc,Information Technology
UCTT,"Ultra Clean Holdings, Inc.",Information Technology
UFI,"Unifi, Inc.",Consumer Discretionary
UNF,UniFirst Corporation,Industrials
UNT,Unit Corporation,Energy
UCBI,"United Community Banks, Inc.",Financials
UFCS,"United Fire Group, Inc.",Financials
UIHC,United Insurance Holdings Corp.,Financials
UVV,Universal Corporation,Consumer Staples
UEIC,Universal Electronics Inc.,Consumer Discretionary
UFPI,"Universal Forest Products, Inc.",Industrials
UHT,Universal Health Realty Income Trust,Real Estate
UVE,"Universal Insurance Holdings, Inc.",Financials
UBA,Urstadt Biddle Properties Inc.,Real Estate
ECOL,"US Ecology, Inc.",Industrials
VAL,Valaris plc,Energy
VREX,Varex Imaging Corporation,Health Care
VGR,Vector Group,
VVC,Vectren Corp,Utilities
VECO,Veeco Instruments Inc.,Information Technology
VRA,"Vera Bradley, Inc.",Consumer Discretionary
PAY,Verifone,Information Technology
VRTV,Veritiv Corporation,Industrials
VSM,Versum Materials Inc,Information Technology
VVI,Viad Corp,Industrials
VIAV,Viavi Solutions Inc.,Information Technology
VICR,Vicor Corporation,Industrials
VRTS,"Virtus Investment Partners, Inc.",Financials
VRTU,Virtusa Corporation,Information Technology
VSTO,Vista Outdoor Inc.,Consumer Discretionary
VSI,"Vitamin Shoppe, Inc.",Consumer Discretionary
VG,Vonage Holdings Corp.,Telecommunication Services
WNC,Wabash National Corporation,Industrials
WAB,Wabtec,Industrials
WDR,"Waddell & Reed Financial, Inc.",Financials
WAGE,"WageWorks, Inc.",Industrials
WD,"Walker & Dunlop , Inc.",Financials
WPG,Washington Prime Group Inc.,Real Estate
WTS,"Watts Water Technologies, Inc.",Industrials
WDFC,WD-40 Company,Consumer Staples
WCG,Wellcare Health Plans Inc,Health Care
WABC,Westamerica Bancorporation,Financials
WSR,Whitestone REIT,Real Estate
WLH,William Lyon Homes,Consumer Discretionary
WING,Wingstop Inc.,Consumer Discretionary
WGO,"Winnebago Industries, Inc.",Consumer Discretionary
WETF,"WisdomTree Investments, Inc.",Financials
WWW,"Wolverine World Wide, Inc.",Consumer Discretionary
WRLD,World Acceptance Corporation,Financials
WWE,World Wrestling Entertainment,Consumer Discretionary
WH,"Wyndham Hotels & Resorts, Inc.",Consumer Discretionary
XOXO,XO Group Inc.,Information Technology
XPER,Xperi Corporation,Information Technology
ZUMZ,Zumiez Inc.,Consumer Discretionary
